Symbol,Respective Qty,Local Price,Local MV
SPORTHLD - SPV,1752553740.21,1.024650,1795754765.06
SPORT - SPV,1689417411.52,0.997778,1685663441.41
ASCHLD-SPV,647776332.67,0.993783,643749049.10
SPORTA-SPV,334874724.15,1.009603,338090542.52
DEUCE - SPV,300000000.00,1.004749,301424771.04
SPORTFC - SPV,291608007.67,1.000000,291608007.67
ASCON-SPV,250527694.49,1.117701,280015042.74
ASCHON-SPV,260031425.70,1.024650,266441285.01
DEUCE2FC - SPV,255303634.08,1.033055,263742650.72
APAEV - SPV,200000000.00,1.036417,207283358.40
APIVDC- SPV,174159461.22,1.000000,174159461.22
SPORTEUR-SPV,151533863.17,1.006359,152497417.53
DEUCE1DC - SPV,151220000.00,1.004749,151938179.61
APRAIL2-SPV,135088250.00,1.041553,140701619.51
SPORTD-SPV,135088239.27,1.041553,140701619.46
SPORTB-SPV,128611834.21,1.029056,132348815.38
SPORTHFCSPV,117634387.19,1.025389,120620994.57
SPORT2DC-SPV,111994838.76,0.999999,111994779.39
APCAXXII - SPV,102807692.31,1.056123,108577575.88
SPORTC-SPV,100000000.00,1.000000,100000000.57
