Level,Kind,Name,Code,Issuer,Units,Direct share %,Effective share %,Value of whole entity USD,Look-through value USD,Position value USD,Look-through minus as-booked USD
0,product,Apollo Sports Capital,Apollo Sports Capital,,0,100.0000,100.000000,2060224441.40,2060224441.40,2061831574.92,-1607133.52
1,apex,"Apollo Sports Capital Holdings (Onshore), L.P.",ASCHON,,0,100.0000,100.000000,291966467.55,291966467.55,266433805.71,25532661.84
2,vehicle,"Apollo Sports Capital (Onshore), L.P.",ASCON,,250527694.491,100.0000,100.000000,281726437.96,281726437.96,256193776.12,25532661.84
3,vehicle,"AP Sports Aggregator E-Velocity, L.P.",APAEV,,25840538.78,12.9203,12.920269,207204995.48,26771443.61,25840538.78,930904.83
4,vehicle,"AP Aggregator Velocity, L.P.",APAV,,200000000,100.0000,12.920269,207204995.48,26771443.61,26781568.31,-10124.70
5,leaf,Fund Cash,CASH,,4515067.49,100.0000,12.920269,4515067.49,583358.88,583358.88,0.00
5,leaf,PICKLEBALL HOLDCO COMMON UNITS,PICKLEBALL HLDC CMN UNITS,"Pickleball Holdco, LLC",5489539,100.0000,12.920269,24999997.39,3230067.01,3230067.01,0.00
5,leaf,PICKLEBALL HOLDCO STEP PRF A1 PERP PIK,PICKLEBALL HLDCO PRF A1,"Pickleball Holdco, LLC",11759768.5221,100.0000,12.920269,152160416.71,19659535.74,19659535.74,0.00
5,leaf,PICKLEBALL HLDCO 12.5% PRF CL B1 PRP PIK,PICKLEBALL HOLDCO PRF B1,"Pickleball Holdco, LLC",1973056.6503,100.0000,12.920269,25529513.89,3298481.97,3298481.97,0.00
3,vehicle,"ASC Holdings, SCSp",ASCHLUSD,,83694447.234,12.9203,12.920269,644268069.54,83241170.19,83675468.51,-434298.32
4,vehicle,"AP Crimson Holdings, SCSp",CRIMAP,,516810280.38,49.4898,6.394215,1190008859.58,76091730.47,76250103.09,-158372.63
5,vehicle,"Crimson Topco, Ltd.",CRIMT,,1043663292.63,100.0000,6.394215,1189328111.60,76048201.97,76205399.44,-157197.47
6,vehicle,"Crimson Holdco, Ltd.",CRIMH,,1043592969.92,100.0000,6.394215,1189262732.70,76044021.50,76201218.10,-157196.59
7,leaf,ATLETICO HOLDCO ORD SHARES,ATLETICO HOLDCO ORD SH,"Atletico Holdco, S.L.",3010982,100.0000,6.394215,1186902454.47,75893100.23,75893100.23,0.00
